trabajador,dia,turno,disposicion
1,1,dia,0
1,1,noche,4
1,2,dia,3
1,2,noche,3
1,3,dia,2
1,3,noche,1
1,4,dia,10
1,4,noche,8
1,5,dia,1
1,5,noche,9
1,6,dia,6
1,6,noche,0
1,7,dia,0
1,7,noche,1
2,1,dia,3
2,1,noche,3
2,2,dia,8
2,2,noche,9
2,3,dia,0
2,3,noche,8
2,4,dia,3
2,4,noche,10
2,5,dia,8
2,5,noche,6
2,6,dia,3
2,6,noche,7
2,7,dia,9
2,7,noche,4
3,1,dia,0
3,1,noche,2
3,2,dia,6
3,2,noche,5
3,3,dia,4
3,3,noche,2
3,4,dia,3
3,4,noche,5
3,5,dia,1
3,5,noche,1
3,6,dia,6
3,6,noche,1
3,7,dia,5
3,7,noche,5
4,1,dia,9
4,1,noche,4
4,2,dia,0
4,2,noche,7
4,3,dia,8
4,3,noche,1
4,4,dia,6
4,4,noche,1
4,5,dia,8
4,5,noche,4
4,6,dia,10
4,6,noche,9
4,7,dia,5
4,7,noche,9
5,1,dia,3
5,1,noche,1
5,2,dia,0
5,2,noche,10
5,3,dia,3
5,3,noche,4
5,4,dia,1
5,4,noche,3
5,5,dia,1
5,5,noche,6
5,6,dia,4
5,6,noche,7
5,7,dia,10
5,7,noche,5
6,1,dia,2
6,1,noche,5
6,2,dia,5
6,2,noche,3
6,3,dia,10
6,3,noche,4
6,4,dia,10
6,4,noche,10
6,5,dia,1
6,5,noche,9
6,6,dia,10
6,6,noche,2
6,7,dia,8
6,7,noche,3
