trabajador,dia,turno,disposicion
1,1,manana,4
1,1,tarde,6
1,1,noche,1
1,2,manana,3
1,2,tarde,7
1,2,noche,9
1,3,manana,8
1,3,tarde,0
1,3,noche,7
1,4,manana,9
1,4,tarde,10
1,4,noche,10
1,5,manana,10
1,5,tarde,8
1,5,noche,9
1,6,manana,3
1,6,tarde,8
1,6,noche,5
1,7,manana,10
1,7,tarde,7
1,7,noche,7
1,8,manana,9
1,8,tarde,5
1,8,noche,3
1,9,manana,7
1,9,tarde,5
1,9,noche,4
1,10,manana,6
1,10,tarde,5
1,10,noche,0
1,11,manana,4
1,11,tarde,5
1,11,noche,4
1,12,manana,4
1,12,tarde,9
1,12,noche,1
1,13,manana,6
1,13,tarde,1
1,13,noche,8
1,14,manana,4
1,14,tarde,9
1,14,noche,1
1,15,manana,10
1,15,tarde,7
1,15,noche,9
1,16,manana,3
1,16,tarde,8
1,16,noche,3
1,17,manana,0
1,17,tarde,9
1,17,noche,8
1,18,manana,7
1,18,tarde,10
1,18,noche,9
1,19,manana,9
1,19,tarde,10
1,19,noche,1
1,20,manana,6
1,20,tarde,0
1,20,noche,0
1,21,manana,8
1,21,tarde,10
1,21,noche,5
1,22,manana,8
1,22,tarde,6
1,22,noche,2
1,23,manana,9
1,23,tarde,5
1,23,noche,7
1,24,manana,8
1,24,tarde,5
1,24,noche,4
1,25,manana,7
1,25,tarde,10
1,25,noche,5
1,26,manana,9
1,26,tarde,8
1,26,noche,2
1,27,manana,3
1,27,tarde,2
1,27,noche,2
2,1,manana,3
2,1,tarde,9
2,1,noche,9
2,2,manana,7
2,2,tarde,0
2,2,noche,2
2,3,manana,2
2,3,tarde,3
2,3,noche,3
2,4,manana,1
2,4,tarde,6
2,4,noche,0
2,5,manana,9
2,5,tarde,10
2,5,noche,0
2,6,manana,6
2,6,tarde,3
2,6,noche,3
2,7,manana,4
2,7,tarde,10
2,7,noche,6
2,8,manana,6
2,8,tarde,1
2,8,noche,8
2,9,manana,0
2,9,tarde,8
2,9,noche,6
2,10,manana,7
2,10,tarde,9
2,10,noche,9
2,11,manana,0
2,11,tarde,10
2,11,noche,1
2,12,manana,9
2,12,tarde,0
2,12,noche,0
2,13,manana,8
2,13,tarde,7
2,13,noche,1
2,14,manana,7
2,14,tarde,5
2,14,noche,5
2,15,manana,2
2,15,tarde,0
2,15,noche,10
2,16,manana,8
2,16,tarde,0
2,16,noche,4
2,17,manana,6
2,17,tarde,8
2,17,noche,4
2,18,manana,10
2,18,tarde,10
2,18,noche,10
2,19,manana,3
2,19,tarde,1
2,19,noche,6
2,20,manana,6
2,20,tarde,9
2,20,noche,5
2,21,manana,1
2,21,tarde,8
2,21,noche,9
2,22,manana,5
2,22,tarde,3
2,22,noche,9
2,23,manana,0
2,23,tarde,6
2,23,noche,2
2,24,manana,9
2,24,tarde,9
2,24,noche,2
2,25,manana,8
2,25,tarde,10
2,25,noche,9
2,26,manana,10
2,26,tarde,0
2,26,noche,7
2,27,manana,0
2,27,tarde,5
2,27,noche,5
3,1,manana,0
3,1,tarde,9
3,1,noche,8
3,2,manana,9
3,2,tarde,8
3,2,noche,8
3,3,manana,6
3,3,tarde,8
3,3,noche,9
3,4,manana,1
3,4,tarde,3
3,4,noche,7
3,5,manana,2
3,5,tarde,7
3,5,noche,7
3,6,manana,2
3,6,tarde,5
3,6,noche,3
3,7,manana,8
3,7,tarde,5
3,7,noche,0
3,8,manana,8
3,8,tarde,2
3,8,noche,6
3,9,manana,2
3,9,tarde,9
3,9,noche,3
3,10,manana,9
3,10,tarde,2
3,10,noche,8
3,11,manana,2
3,11,tarde,0
3,11,noche,3
3,12,manana,1
3,12,tarde,1
3,12,noche,0
3,13,manana,2
3,13,tarde,8
3,13,noche,9
3,14,manana,6
3,14,tarde,0
3,14,noche,3
3,15,manana,5
3,15,tarde,1
3,15,noche,10
3,16,manana,5
3,16,tarde,0
3,16,noche,10
3,17,manana,8
3,17,tarde,7
3,17,noche,0
3,18,manana,4
3,18,tarde,5
3,18,noche,4
3,19,manana,5
3,19,tarde,6
3,19,noche,1
3,20,manana,3
3,20,tarde,5
3,20,noche,6
3,21,manana,0
3,21,tarde,7
3,21,noche,3
3,22,manana,9
3,22,tarde,0
3,22,noche,7
3,23,manana,2
3,23,tarde,1
3,23,noche,2
3,24,manana,8
3,24,tarde,1
3,24,noche,0
3,25,manana,8
3,25,tarde,2
3,25,noche,3
3,26,manana,1
3,26,tarde,2
3,26,noche,8
3,27,manana,8
3,27,tarde,10
3,27,noche,2
4,1,manana,0
4,1,tarde,5
4,1,noche,5
4,2,manana,10
4,2,tarde,2
4,2,noche,8
4,3,manana,4
4,3,tarde,8
4,3,noche,7
4,4,manana,2
4,4,tarde,6
4,4,noche,9
4,5,manana,7
4,5,tarde,4
4,5,noche,0
4,6,manana,3
4,6,tarde,0
4,6,noche,3
4,7,manana,5
4,7,tarde,3
4,7,noche,3
4,8,manana,7
4,8,tarde,3
4,8,noche,4
4,9,manana,3
4,9,tarde,8
4,9,noche,0
4,10,manana,2
4,10,tarde,1
4,10,noche,7
4,11,manana,3
4,11,tarde,6
4,11,noche,3
4,12,manana,8
4,12,tarde,8
4,12,noche,10
4,13,manana,4
4,13,tarde,6
4,13,noche,1
4,14,manana,6
4,14,tarde,8
4,14,noche,10
4,15,manana,2
4,15,tarde,1
4,15,noche,9
4,16,manana,6
4,16,tarde,1
4,16,noche,2
4,17,manana,2
4,17,tarde,3
4,17,noche,10
4,18,manana,10
4,18,tarde,9
4,18,noche,5
4,19,manana,10
4,19,tarde,2
4,19,noche,4
4,20,manana,6
4,20,tarde,7
4,20,noche,10
4,21,manana,5
4,21,tarde,4
4,21,noche,10
4,22,manana,1
4,22,tarde,7
4,22,noche,9
4,23,manana,4
4,23,tarde,3
4,23,noche,8
4,24,manana,2
4,24,tarde,9
4,24,noche,8
4,25,manana,4
4,25,tarde,7
4,25,noche,6
4,26,manana,2
4,26,tarde,3
4,26,noche,3
4,27,manana,5
