trabajador,dia,turno,disposicion
1,1,manana,2
1,1,tarde,8
1,1,noche,6
1,2,manana,2
1,2,tarde,2
1,2,noche,3
1,3,manana,6
1,3,tarde,5
1,3,noche,7
1,4,manana,2
1,4,tarde,6
1,4,noche,9
1,5,manana,4
1,5,tarde,7
1,5,noche,8
1,6,manana,3
1,6,tarde,1
1,6,noche,9
1,7,manana,5
1,7,tarde,5
1,7,noche,4
1,8,manana,5
1,8,tarde,8
1,8,noche,2
1,9,manana,3
1,9,tarde,0
1,9,noche,0
2,1,manana,10
2,1,tarde,6
2,1,noche,7
2,2,manana,5
2,2,tarde,10
2,2,noche,2
2,3,manana,0
2,3,tarde,2
2,3,noche,2
2,4,manana,6
2,4,tarde,10
2,4,noche,1
2,5,manana,7
2,5,tarde,7
2,5,noche,0
2,6,manana,6
2,6,tarde,10
2,6,noche,10
2,7,manana,9
2,7,tarde,7
2,7,noche,1
2,8,manana,1
2,8,tarde,9
2,8,noche,1
2,9,manana,9
2,9,tarde,5
2,9,noche,2
3,1,manana,6
3,1,tarde,9
3,1,noche,4
3,2,manana,10
3,2,tarde,2
3,2,noche,6
3,3,manana,8
3,3,tarde,10
3,3,noche,9
3,4,manana,8
3,4,tarde,8
3,4,noche,4
3,5,manana,5
3,5,tarde,6
3,5,noche,3
3,6,manana,8
3,6,tarde,6
3,6,noche,9
3,7,manana,4
3,7,tarde,0
3,7,noche,0
3,8,manana,3
3,8,tarde,3
3,8,noche,6
3,9,manana,7
3,9,tarde,8
3,9,noche,10
4,1,manana,6
4,1,tarde,9
4,1,noche,9
4,2,manana,4
4,2,tarde,5
4,2,noche,5
4,3,manana,9
4,3,tarde,9
4,3,noche,4
4,4,manana,2
4,4,tarde,7
4,4,noche,10
4,5,manana,6
4,5,tarde,5
4,5,noche,10
4,6,manana,3
4,6,tarde,0
4,6,noche,4
4,7,manana,7
4,7,tarde,0
4,7,noche,4
4,8,manana,5
4,8,tarde,10
4,8,noche,9
4,9,manana,2
4,9,tarde,8
4,9,noche,4
5,1,manana,7
5,1,tarde,9
5,1,noche,4
5,2,manana,3
5,2,tarde,1
5,2,noche,8
5,3,manana,1
5,3,tarde,4
5,3,noche,0
5,4,manana,5
5,4,tarde,6
5,4,noche,1
5,5,manana,2
5,5,tarde,5
5,5,noche,5
5,6,manana,5
5,6,tarde,7
5,6,noche,10
5,7,manana,0
5,7,tarde,8
5,7,noche,7
5,8,manana,0
5,8,tarde,4
5,8,noche,1
5,9,manana,10
5,9,tarde,2
5,9,noche,6
6,1,manana,2
6,1,tarde,10
6,1,noche,6
6,2,manana,0
6,2,tarde,7
6,2,noche,4
6,3,manana,2
6,3,tarde,6
6,3,noche,9
6,4,manana,0
6,4,tarde,8
6,4,noche,2
6,5,manana,9
6,5,tarde,9
6,5,noche,10
6,6,manana,4
6,6,tarde,2
6,6,noche,7
6,7,manana,9
6,7,tarde,1
6,7,noche,1
6,8,manana,4
6,8,tarde,7
6,8,noche,5
6,9,manana,9
6,9,tarde,2
6,9,noche,4
7,1,manana,10
7,1,tarde,6
7,1,noche,2
7,2,manana,7
7,2,tarde,0
7,2,noche,2
7,3,manana,1
7,3,tarde,2
7,3,noche,7
7,4,manana,8
7,4,tarde,2
7,4,noche,8
7,5,manana,4
7,5,tarde,4
7,5,noche,9
7,6,manana,2
7,6,tarde,6
7,6,noche,9
7,7,manana,6
7,7,tarde,8
7,7,noche,2
7,8,manana,5
7,8,tarde,5
7,8,noche,6
7,9,manana,3
7,9,tarde,4
7,9,noche,1
8,1,manana,4
8,1,tarde,5
8,1,noche,3
8,2,manana,9
8,2,tarde,9
8,2,noche,1
8,3,manana,4
8,3,tarde,9
8,3,noche,4
8,4,manana,10
8,4,tarde,0
8,4,noche,6
8,5,manana,1
8,5,tarde,8
8,5,noche,10
8,6,manana,3
8,6,tarde,8
8,6,noche,4
8,7,manana,7
8,7,tarde,4
8,7,noche,5
8,8,manana,9
8,8,tarde,0
8,8,noche,1
8,9,manana,9
8,9,tarde,5
8,9,noche,7
9,1,manana,1
9,1,tarde,7
9,1,noche,1
9,2,manana,5
9,2,tarde,7
9,2,noche,6
9,3,manana,7
9,3,tarde,8
9,3,noche,7
9,4,manana,10
9,4,tarde,3
9,4,noche,2
9,5,manana,10
9,5,tarde,2
9,5,noche,6
9,6,manana,9
9,6,tarde,1
9,6,noche,1
9,7,manana,0
9,7,tarde,5
9,7,noche,6
9,8,manana,10
9,8,tarde,1
9,8,noche,0
9,9,manana,4
9,9,tarde,6
9,9,noche,2
10,1,manana,4
10,1,tarde,5
10,1,noche,7
10,2,manana,1
10,2,tarde,6
10,2,noche,6
10,3,manana,4
10,3,tarde,3
10,3,noche,0
10,4,manana,2
10,4,tarde,4
10,4,noche,3
10,5,manana,1
10,5,tarde,6
10,5,noche,2
10,6,manana,5
10,6,tarde,8
10,6,noche,0
10,7,manana,4
10,7,tarde,3
10,7,noche,8
10,8,manana,5
10,8,tarde,1
10,8,noche,5
10,9,manana,8
10,9,tarde,1
10,9,noche,3
11,1,manana,8
11,1,tarde,5
11,1,noche,0
11,2,manana,8
11,2,tarde,2
11,2,noche,8
11,3,manana,7
11,3,tarde,3
11,3,noche,5
11,4,manana,4
11,4,tarde,10
11,4,noche,8
11,5,manana,9
11,5,tarde,4
11,5,noche,1
11,6,manana,10
11,6,tarde,9
11,6,noche,10
11,7,manana,3
11,7,tarde,6
11,7,noche,3
11,8,manana,10
11,8,tarde,9
11,8,noche,8
11,9,manana,7
11,9,tarde,1
11,9,noche,5
12,1,manana,7
12,1,tarde,0
12,1,noche,2
12,2,manana,10
12,2,tarde,4
12,2,noche,1
12,3,manana,5
12,3,tarde,1
12,3,noche,9
12,4,manana,9
12,4,tarde,2
12,4,noche,1
12,5,manana,5
12,5,tarde,7
12,5,noche,8
12,6,manana,3
12,6,tarde,1
12,6,noche,7
